COURSE_ID,TITLE,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
ML0201EN,Robots Are Coming  Build Iot Apps With Watson  Swift  And Node Red,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ML0122EN,Accelerating Deep Learning With Gpu,0,1,0,0,0,1,0,1,0,0,0,0,0,0
GPXX0ZG0EN,Consuming Restful Services Using The Reactive Jax Rs Client,0,0,0,0,0,0,0,0,0,0,0,1,1,0
RP0105EN,Analyzing Big Data In R Using Apache Spark,1,0,0,1,0,0,0,0,1,0,1,0,0,0
GPXX0Z2PEN,Containerizing  Packaging  And Running A Spring Boot Application,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CNSC02EN,Cloud Native Security Conference  Data Security,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DX0106EN,Data Science Bootcamp With R For University Proffesors,0,0,0,0,0,0,0,1,0,0,1,0,0,0
GPXX0FTCEN,Learn How To Use Docker Containers For Iterative Development,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RAVSCTEST1,Scorm Test Course,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPXX06RFEN,Create Your First Mongodb Database,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPXX0SDXEN,Testing Microservices With The Arquillian Managed Container,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CC0271EN,Cloud Pak For Integration Essentials,1,0,1,0,0,0,0,0,0,0,0,0,0,0
WA0103EN,Watson Analytics For Social Media,0,0,1,1,0,0,0,0,0,0,0,0,0,0
DX0108EN,Data Science Bootcamp With Python For University Professors  Advance,0,1,0,0,0,0,0,1,0,0,0,0,0,0
GPXX0PICEN,Create A Cryptocurrency Trading Algorithm In Python,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DAI101EN,Data   Ai Essentials,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GPXX0W7KEN,Securing Java Microservices With Eclipse Microprofile Json Web Token  Microprofile Jwt,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GPXX0QR3EN,Enabling Distributed Tracing In Microservices With Zipkin,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BD0145EN,Sql Access For Hadoop,1,0,0,0,0,0,0,0,1,0,0,0,0,0
HCC105EN,Ybrid Cloud Conference  Ai Pipelines Lab,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DE0205EN,Dataops Methodology,1,0,0,0,0,0,0,0,0,0,0,1,0,0
DS0132EN,Data   Ai  Jumpstart Your Journey,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OS0101EN,Introduction To Open Source,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DS0201EN,End To End Data Science On Cloudpak For Data,0,0,1,0,0,0,0,1,0,0,0,0,0,0
BENTEST4,Ai For Everyone  Master The Basics,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CC0210EN,Serverless Computing Using Cloud Functions   Developer I,0,0,1,0,0,0,0,0,0,0,0,1,0,0
PA0103EN,Predicting Customer Satisfaction,0,0,0,0,0,1,0,1,0,0,0,0,0,0
HCC104EN,Hybrid Cloud Conference Serverless Lab,0,0,1,0,0,0,0,0,0,0,0,1,0,0
GPXX0A1YEN,Validating Constraints For Javabeans In Java Microservices,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TMP0105EN,Getting Started With The Data  Apache Spark Makers Build,1,0,0,1,0,0,0,0,1,0,0,0,0,0
PA0107EN,Predicting Financial Performance Of A Company,0,0,0,0,0,1,0,1,0,0,0,0,0,0
DB0113EN,Db2 Fundamentals I,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0109EN,Using Clustering Methods For Investment Portfolio Analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PHPM002EN,Php Web Application On A Lamp Stack,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GPXX03HFEN,Fundamentals Of Javascript Through Rock Paper Scissors,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RP0103,Using R With Databases,1,0,0,0,0,0,0,0,0,0,1,0,0,0
RP0103EN,Using R With Databases,1,0,0,0,0,0,0,0,0,0,1,0,0,0
BD0212EN,Spark Fundamentals Ii,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GPXX0IBEN,Data Science In Insurance  Basic Statistical Analysis,0,0,0,1,0,1,0,1,0,0,0,0,0,0
SECM03EN,Apply End To End Security To A Cloud Application,0,0,1,0,0,0,0,0,0,0,0,1,0,0
SC0103EN,Spark Overview For Scala Analytics,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GPXX0YXHEN,Testing A Microprofile Or Jakarta Ee Application Using Microshed Testing With An Open Liberty Docker Container,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP0151EN,R 101,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TA0105,Text Analytics 101,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SW0201EN,How To Build Watson Ai And Swift Apis And Make Money,0,0,1,0,0,1,0,0,0,0,0,1,0,0
