COURSE_ID,TITLE,DESCRIPTION
ML0201EN,Robots Are Coming  Build Iot Apps With Watson  Swift  And Node Red,Have Fun With Iot And Learn Along The Way  If You Re A Swift Developer And Want To Learn More About Iot And Watson Ai Services In The Cloud  Raspberry Pi   And Node Red  You Ve Found The Right Place  You Ll Build Iot Apps To Read Temperature Data  Take Pictures With A Raspcam  Use Ai To Recognize The Objects In Those Pictures  And Program An Irobot Create 2 Robot
ML0122EN,Accelerating Deep Learning With Gpu,Training Complex Deep Learning Models With Large Datasets Takes Along Time  In This Course  You Will Learn How To Use Accelerated Gpu Hardware To Overcome The Scalability Problem In Deep Learning You Can Use Accelerated Hardware Such As Google S Tensor Processing Unit  Tpu  Or Nvidia Gpu To Accelerate Your Convolutional Neural Network Computations Time On The Cloud  These Chips Are Specifically Designed To Support The Training Of Neural Networks  As Well As The Use Of Trained Networks  Inference   Accelerated Hardware Has Recently Been Proven To Significantly Reduce Training Time But The Problem Is That Your Data Might Be Sensitiveand You May Not Feel Comfortable Uploading It On A Public Cloud  Preferring To Analyze It On Premise  In This Case  You Need To Use An In House System With Gpu Support  One Solution Is To Use Ibm S Power Systems With Nvidia Gpu And Power Ai  The Power Ai Platform Supports Popular Machine Learning Libraries And Dependencies Including Tensorflow  Caffe  Torch  And Theano In This Course  You Ll Understand What Gpu Based Accelerated Hardware Is And How It Can Benefit Your Deep Learning Scaling Needs  You Ll Also Deploy Deep Learning Networks On Gpu Accelerated Hardware For Several Problems  Including The Classification Of Images And Videos
GPXX0ZG0EN,Consuming Restful Services Using The Reactive Jax Rs Client,Learn How To Use A Reactive Jax Rs Client To Asynchronously Invoke Restful Microservices Over Http
RP0105EN,Analyzing Big Data In R Using Apache Spark,Apache Spark Is A Popular Cluster Computing Framework Used For Performing Large Scale Data Analysis  Sparkr Provides A Distributed Data Frame Api That Enables Structured Data Processing With A Syntax Familiar To R Users
GPXX0Z2PEN,Containerizing  Packaging  And Running A Spring Boot Application,Learn How To Containerize  Package  And Run A Spring Boot Application On An Open Liberty Server Without Modification
CNSC02EN,Cloud Native Security Conference   Data Security,Introduction To Data Security On Cloud
DX0106EN,Data Science Bootcamp With R For University Proffesors,A Multi Day Intensive  In Person Data Science Bootcamp Offered By Big Data University
GPXX0FTCEN,Learn How To Use Docker Containers For Iterative Development,Learn How To Use Docker Containers For Iterative Development
RAVSCTEST1,Scorm Test 1,Scron Test Course
GPXX06RFEN,Create Your First Mongodb Database,In This Guided Project  You Will Get Started With Mongodb By Creating Your First Database  Working With Collections  And Doing Basic Document Management
