doc_index,doc_id,token,bow
0,ML0201EN,Ai,2
0,ML0201EN,Along,1
0,ML0201EN,Apps,2
0,ML0201EN,Build,2
0,ML0201EN,Cloud,1
0,ML0201EN,Coming,1
0,ML0201EN,Create,1
0,ML0201EN,Data,1
0,ML0201EN,Developer,1
0,ML0201EN,Found,1
0,ML0201EN,Fun,1
0,ML0201EN,Iot,4
0,ML0201EN,Irobot,1
0,ML0201EN,Learn,2
0,ML0201EN,Node,2
0,ML0201EN,Objects,1
0,ML0201EN,Pi,1
0,ML0201EN,Pictures,2
0,ML0201EN,Place,1
0,ML0201EN,Program,1
0,ML0201EN,Raspberry,1
0,ML0201EN,Raspcam,1
0,ML0201EN,Read,1
0,ML0201EN,Recognize,1
0,ML0201EN,Red,2
0,ML0201EN,Right,1
0,ML0201EN,Robot,1
0,ML0201EN,Robots,1
0,ML0201EN,Services,1
0,ML0201EN,Swift,2
0,ML0201EN,Take,1
0,ML0201EN,Temperature,1
0,ML0201EN,Use,1
0,ML0201EN,Want,1
0,ML0201EN,Watson,2
0,ML0201EN,Way,1
1,ML0122EN,Ai,2
1,ML0122EN,Along,1
1,ML0122EN,Cloud,2
1,ML0122EN,Data,1
1,ML0122EN,Learn,1
1,ML0122EN,Use,5
1,ML0122EN,Accelerate,1
1,ML0122EN,Accelerated,5
1,ML0122EN,Accelerating,1
1,ML0122EN,Analyze,1
1,ML0122EN,Based,1
1,ML0122EN,Benefit,1
1,ML0122EN,Caffe,1
1,ML0122EN,Case,1
1,ML0122EN,Chips,1
1,ML0122EN,Classification,1
1,ML0122EN,Comfortable,1
1,ML0122EN,Complex,1
1,ML0122EN,Computations,1
1,ML0122EN,Convolutional,1
1,ML0122EN,Course,2
1,ML0122EN,Datasets,1
1,ML0122EN,Deep,5
1,ML0122EN,Dependencies,1
1,ML0122EN,Deploy,1
1,ML0122EN,Designed,1
1,ML0122EN,Feel,1
1,ML0122EN,Google,1
1,ML0122EN,Gpu,7
1,ML0122EN,Hardware,5
1,ML0122EN,House,1
1,ML0122EN,Ibm,1
1,ML0122EN,Images,1
1,ML0122EN,Including,2
1,ML0122EN,Inference,1
1,ML0122EN,Large,1
1,ML0122EN,Learning,6
1,ML0122EN,Libraries,1
1,ML0122EN,Machine,1
1,ML0122EN,May,1
1,ML0122EN,Might,1
1,ML0122EN,Models,1
1,ML0122EN,Need,1
1,ML0122EN,Needs,1
1,ML0122EN,Network,1
1,ML0122EN,Networks,3
1,ML0122EN,Neural,2
1,ML0122EN,Nvidia,2
1,ML0122EN,One,1
1,ML0122EN,Overcome,1
1,ML0122EN,Platform,1
1,ML0122EN,Popular,1
1,ML0122EN,Power,3
1,ML0122EN,Preferring,1
1,ML0122EN,Premise,1
1,ML0122EN,Problem,2
1,ML0122EN,Problems,1
1,ML0122EN,Processing,1
1,ML0122EN,Proven,1
1,ML0122EN,Public,1
1,ML0122EN,Recently,1
1,ML0122EN,Reduce,1
1,ML0122EN,Scalability,1
1,ML0122EN,Scaling,1
1,ML0122EN,Sensitiveand,1
1,ML0122EN,Several,1
1,ML0122EN,Significantly,1
1,ML0122EN,Solution,1
1,ML0122EN,Specifically,1
1,ML0122EN,Support,2
1,ML0122EN,Supports,1
1,ML0122EN,System,1
1,ML0122EN,Systems,1
1,ML0122EN,Takes,1
1,ML0122EN,Tensor,1
1,ML0122EN,Tensorflow,1
1,ML0122EN,Theano,1
1,ML0122EN,Time,3
1,ML0122EN,Torch,1
1,ML0122EN,Tpu,1
1,ML0122EN,Trained,1
1,ML0122EN,Training,3
1,ML0122EN,Understand,1
1,ML0122EN,Unit,1
1,ML0122EN,Uploading,1
1,ML0122EN,Videos,1
1,ML0122EN,Well,1
2,GPXX0ZG0EN,Learn,1
2,GPXX0ZG0EN,Services,1
2,GPXX0ZG0EN,Use,1
2,GPXX0ZG0EN,Asynchronously,1
2,GPXX0ZG0EN,Client,2
2,GPXX0ZG0EN,Consuming,1
2,GPXX0ZG0EN,Http,1
2,GPXX0ZG0EN,Invoke,1
2,GPXX0ZG0EN,Jax,2
2,GPXX0ZG0EN,Microservices,1
2,GPXX0ZG0EN,Reactive,2
2,GPXX0ZG0EN,Restful,2
2,GPXX0ZG0EN,Rs,2
2,GPXX0ZG0EN,Using,1
3,RP0105EN,Data,4
3,RP0105EN,Large,1
3,RP0105EN,Popular,1
3,RP0105EN,Processing,1
3,RP0105EN,Using,1
3,RP0105EN,Analysis,1
3,RP0105EN,Analyzing,1
3,RP0105EN,Apache,2
3,RP0105EN,Api,1
3,RP0105EN,Big,1
3,RP0105EN,Cluster,1
3,RP0105EN,Computing,1
3,RP0105EN,Distributed,1
3,RP0105EN,Enables,1
3,RP0105EN,Familiar,1
3,RP0105EN,Frame,1
3,RP0105EN,Framework,1
3,RP0105EN,Performing,1
3,RP0105EN,Provides,1
3,RP0105EN,R,2
3,RP0105EN,Scale,1
3,RP0105EN,Spark,2
3,RP0105EN,Sparkr,1
3,RP0105EN,Structured,1
3,RP0105EN,Syntax,1
3,RP0105EN,Used,1
3,RP0105EN,Users,1
4,GPXX0Z2PEN,Learn,1
4,GPXX0Z2PEN,Application,2
4,GPXX0Z2PEN,Boot,2
4,GPXX0Z2PEN,Containerize,1
4,GPXX0Z2PEN,Containerizing,1
4,GPXX0Z2PEN,Liberty,1
4,GPXX0Z2PEN,Modification,1
4,GPXX0Z2PEN,Open,1
4,GPXX0Z2PEN,Package,1
4,GPXX0Z2PEN,Packaging,1
4,GPXX0Z2PEN,Run,1
4,GPXX0Z2PEN,Running,1
4,GPXX0Z2PEN,Server,1
4,GPXX0Z2PEN,Spring,2
5,CNSC02EN,Cloud,2
5,CNSC02EN,Data,2
5,CNSC02EN,Conference,1
5,CNSC02EN,Introduction,1
5,CNSC02EN,Native,1
5,CNSC02EN,Security,3
6,DX0106EN,Data,3
6,DX0106EN,Big,1
6,DX0106EN,R,1
6,DX0106EN,Bootcamp,2
6,DX0106EN,Day,1
6,DX0106EN,Intensive,1
